Variable,All,Female,Male,Other / Unknown
   ↳ Hemiplegia,   2 ( 1.7) |  117,  2 ( 6.5) |  31,  0 ( 0.0) |  16,  0 ( 0.0) |  70
   ↳ Hyperthyroidism,   6 ( 5.1) |  117,  4 (12.9) |  31,  0 ( 0.0) |  16,  2 ( 2.9) |  70
   ↳ Hypothyroidism,   2 ( 1.7) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  2 ( 2.9) |  70
   ↳ Immunosuppression,   1 ( 0.9) |  117,  1 ( 3.2) |  31,  0 ( 0.0) |  16,  0 ( 0.0) |  70
   ↳ Ischaemic Heart Disease,   3 ( 2.6) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  3 ( 4.3) |  70
   ↳ Leukemia,   2 ( 1.7) |  117,  1 ( 3.2) |  31,  0 ( 0.0) |  16,  1 ( 1.4) |  70
   ↳ Malignant lymphoma,   2 ( 1.7) |  117,  0 ( 0.0) |  31,  2 (12.5) |  16,  0 ( 0.0) |  70
   ↳ Metastatic carcinoid tumor Cancer,   3 ( 2.6) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  3 ( 4.3) |  70
   ↳ Moderate or Severe Liver Disease,   5 ( 4.3) |  117,  1 ( 3.2) |  31,  1 ( 6.2) |  16,  3 ( 4.3) |  70
   ↳ Moderate or Severe Renal Disease,   2 ( 1.7) |  117,  1 ( 3.2) |  31,  0 ( 0.0) |  16,  1 ( 1.4) |  70
   ↳ Multiple Myeloma,   2 ( 1.7) |  117,  2 ( 6.5) |  31,  0 ( 0.0) |  16,  0 ( 0.0) |  70
   ↳ Myocardial Infarction,   2 ( 1.7) |  117,  1 ( 3.2) |  31,  0 ( 0.0) |  16,  1 ( 1.4) |  70
   ↳ Neurodegenerative Disorders,   3 ( 2.6) |  117,  1 ( 3.2) |  31,  1 ( 6.2) |  16,  1 ( 1.4) |  70
   ↳ Neurological disorder confirmed,   2 ( 1.7) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  2 ( 2.9) |  70
   ↳ Obesity,   1 ( 0.9) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  1 ( 1.4) |  70
   ↳ Paraplegia,   1 ( 0.9) |  117,  1 ( 3.2) |  31,  0 ( 0.0) |  16,  0 ( 0.0) |  70
   ↳ Peripheral Vascular Disease,   1 ( 0.9) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  1 ( 1.4) |  70
   ↳ Primary malignant neoplasm,   4 ( 3.4) |  117,  1 ( 3.2) |  31,  0 ( 0.0) |  16,  3 ( 4.3) |  70
   ↳ Psychoactive substance use disorder,   1 ( 0.9) |  117,  1 ( 3.2) |  31,  0 ( 0.0) |  16,  0 ( 0.0) |  70
   ↳ Reactive psychoses,   1 ( 0.9) |  117,  1 ( 3.2) |  31,  0 ( 0.0) |  16,  0 ( 0.0) |  70
   ↳ Recurrent deep vein thrombosis,   3 ( 2.6) |  117,  0 ( 0.0) |  31,  1 ( 6.2) |  16,  2 ( 2.9) |  70
   ↳ Rheumatoid Disorders,   6 ( 5.1) |  117,  2 ( 6.5) |  31,  0 ( 0.0) |  16,  4 ( 5.7) |  70
   ↳ Smoking,   6 ( 5.1) |  117,  1 ( 3.2) |  31,  1 ( 6.2) |  16,  4 ( 5.7) |  70
   ↳ Solid tumor configuration,   3 ( 2.6) |  117,  0 ( 0.0) |  31,  1 ( 6.2) |  16,  2 ( 2.9) |  70
   ↳ Transplant present,   1 ( 0.9) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  1 ( 1.4) |  70
   ↳ Tuberculosis,   3 ( 2.6) |  117,  1 ( 3.2) |  31,  1 ( 6.2) |  16,  1 ( 1.4) |  70
   ↳ Undifferentiated connective tissue disease,   2 ( 1.7) |  117,  0 ( 0.0) |  31,  1 ( 6.2) |  16,  1 ( 1.4) |  70
<b>->Any additional other relevant comorbidity(s) ?</b> (*),  75 (76.5) |   98, 18 (69.2) |  26, 11 (100.) |  11, 46 (75.4) |  61
<b>>->Select additional other relevant comorbidity(s) 4</b> (*),,,,
   ↳ Acute-on-chronic renal failure,   2 ( 2.8) |   72,  1 ( 5.6) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Asplenia,   1 ( 1.4) |   72,  0 ( 0.0) |  18,  1 ( 9.1) |  11,  0 ( 0.0) |  43
   ↳ Atrial Fibrillation,   1 ( 1.4) |   72,  0 ( 0.0) |  18,  1 ( 9.1) |  11,  0 ( 0.0) |  43
   ↳ Autoimmune Disease,   2 ( 2.8) |   72,  1 ( 5.6) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Cardiomyopathy,   2 ( 2.8) |   72,  1 ( 5.6) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Cerebrovascular Disease,   1 ( 1.4) |   72,  0 ( 0.0) |  18,  1 ( 9.1) |  11,  0 ( 0.0) |  43
   ↳ Chronic Haematological Disease,   2 ( 2.8) |   72,  0 ( 0.0) |  18,  1 ( 9.1) |  11,  1 ( 2.3) |  43
   ↳ Chronic Infection,   1 ( 1.4) |   72,  1 ( 5.6) |  18,  0 ( 0.0) |  11,  0 ( 0.0) |  43
   ↳ Chronic Kidney Disease,   2 ( 2.8) |   72,  1 ( 5.6) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Chronic heart disease,   3 ( 4.2) |   72,  2 (11.1) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Chronic inflammatory disorder,   2 ( 2.8) |   72,  1 ( 5.6) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Congenital Heart Disease,   2 ( 2.8) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  2 ( 4.7) |  43
   ↳ Congestive Heart Failure,   2 ( 2.8) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  2 ( 4.7) |  43
   ↳ Dementia,   1 ( 1.4) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Disease of liver,   3 ( 4.2) |   72,  0 ( 0.0) |  18,  1 ( 9.1) |  11,  2 ( 4.7) |  43
   ↳ Disorder of pulmonary circulation,   1 ( 1.4) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Heart valve disorder,   1 ( 1.4) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Human immunodeficiency virus [HIV] disease,   1 ( 1.4) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Hyperthyroidism,   2 ( 2.8) |   72,  0 ( 0.0) |  18,  1 ( 9.1) |  11,  1 ( 2.3) |  43
   ↳ Hypothyroidism,   1 ( 1.4) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Immunosuppression,   1 ( 1.4) |   72,  1 ( 5.6) |  18,  0 ( 0.0) |  11,  0 ( 0.0) |  43
   ↳ Ischaemic Heart Disease,   1 ( 1.4) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Leukemia,   1 ( 1.4) |   72,  1 ( 5.6) |  18,  0 ( 0.0) |  11,  0 ( 0.0) |  43
   ↳ Malignant lymphoma,   2 ( 2.8) |   72,  1 ( 5.6) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Moderate or Severe Liver Disease,   1 ( 1.4) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Moderate or Severe Renal Disease,   3 ( 4.2) |   72,  2 (11.1) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Multiple Myeloma,   2 ( 2.8) |   72,  0 ( 0.0) |  18,  1 ( 9.1) |  11,  1 ( 2.3) |  43
   ↳ Neurodegenerative Disorders,   3 ( 4.2) |   72,  1 ( 5.6) |  18,  0 ( 0.0) |  11,  2 ( 4.7) |  43
   ↳ Neurological disorder confirmed,   2 ( 2.8) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  2 ( 4.7) |  43
   ↳ Peripheral Vascular Disease,   2 ( 2.8) |   72,  1 ( 5.6) |  18,  1 ( 9.1) |  11,  0 ( 0.0) |  43
   ↳ Primary malignant neoplasm,   1 ( 1.4) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Rare Diseases and Inborn Errors of Metabolism,   1 ( 1.4) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  1 ( 2.3) |  43
   ↳ Reactive psychoses,   5 ( 6.9) |   72,  1 ( 5.6) |  18,  1 ( 9.1) |  11,  3 ( 7.0) |  43
   ↳ Recurrent deep vein thrombosis,   2 ( 2.8) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  2 ( 4.7) |  43
   ↳ Solid tumor configuration,   3 ( 4.2) |   72,  0 ( 0.0) |  18,  1 ( 9.1) |  11,  2 ( 4.7) |  43
   ↳ Stroke,   5 ( 6.9) |   72,  1 ( 5.6) |  18,  1 ( 9.1) |  11,  3 ( 7.0) |  43
   ↳ Tuberculosis,   1 ( 1.4) |   72,  1 ( 5.6) |  18,  0 ( 0.0) |  11,  0 ( 0.0) |  43
   ↳ Undifferentiated connective tissue disease,   3 ( 4.2) |   72,  0 ( 0.0) |  18,  0 ( 0.0) |  11,  3 ( 7.0) |  43
<b>>->Any additional other relevant comorbidity(s) ?</b> (*),  27 (47.4) |   57,  9 (52.9) |  17,  3 (60.0) |   5, 15 (42.9) |  35
<b>->->Select additional other relevant comorbidity(s) 5</b> (*),,,,
   ↳ Cardiomyopathy,   1 ( 3.8) |   26,  1 (12.5) |   8,  0 ( 0.0) |   3,  0 ( 0.0) |  15
   ↳ Chronic Haematological Disease,   3 (11.5) |   26,  0 ( 0.0) |   8,  1 (33.3) |   3,  2 (13.3) |  15
   ↳ Chronic Viral Hepatitis,   2 ( 7.7) |   26,  0 ( 0.0) |   8,  0 ( 0.0) |   3,  2 (13.3) |  15
   ↳ Chronic lung disease,   1 ( 3.8) |   26,  1 (12.5) |   8,  0 ( 0.0) |   3,  0 ( 0.0) |  15
   ↳ Chronic metabolic disorder,   1 ( 3.8) |   26,  0 ( 0.0) |   8,  0 ( 0.0) |   3,  1 ( 6.7) |  15
   ↳ Congenital Heart Disease,   3 (11.5) |   26,  2 (25.0) |   8,  0 ( 0.0) |   3,  1 ( 6.7) |  15
   ↳ Congestive Heart Failure,   1 ( 3.8) |   26,  0 ( 0.0) |   8,  1 (33.3) |   3,  0 ( 0.0) |  15
   ↳ Disease of liver,   2 ( 7.7) |   26,  0 ( 0.0) |   8,  0 ( 0.0) |   3,  2 (13.3) |  15
   ↳ Disorder of lipid metabolism,   1 ( 3.8) |   26,  0 ( 0.0) |   8,  0 ( 0.0) |   3,  1 ( 6.7) |  15
   ↳ Hypothyroidism,   1 ( 3.8) |   26,  1 (12.5) |   8,  0 ( 0.0) |   3,  0 ( 0.0) |  15
   ↳ Immunosuppression,   1 ( 3.8) |   26,  0 ( 0.0) |   8,  0 ( 0.0) |   3,  1 ( 6.7) |  15
   ↳ Ischaemic Heart Disease,   1 ( 3.8) |   26,  0 ( 0.0) |   8,  0 ( 0.0) |   3,  1 ( 6.7) |  15
   ↳ Malignant lymphoma,   1 ( 3.8) |   26,  1 (12.5) |   8,  0 ( 0.0) |   3,  0 ( 0.0) |  15
   ↳ Paraplegia,   1 ( 3.8) |   26,  0 ( 0.0) |   8,  0 ( 0.0) |   3,  1 ( 6.7) |  15
   ↳ Reactive psychoses,   1 ( 3.8) |   26,  0 ( 0.0) |   8,  1 (33.3) |   3,  0 ( 0.0) |  15
   ↳ Recurrent deep vein thrombosis,   1 ( 3.8) |   26,  0 ( 0.0) |   8,  0 ( 0.0) |   3,  1 ( 6.7) |  15
   ↳ Rheumatoid Disorders,   1 ( 3.8) |   26,  1 (12.5) |   8,  0 ( 0.0) |   3,  0 ( 0.0) |  15
   ↳ Undifferentiated connective tissue disease,   3 (11.5) |   26,  1 (12.5) |   8,  0 ( 0.0) |   3,  2 (13.3) |  15
