Variable,All,Discharged,Death,Censored
   ↳ Problems swallowing or chewing (Dysphagia),14 (100.0) | 14,8 (100.0) | 8,1 (100.0) | 1,5 (100.0) | 5
   ↳ Dizziness/light headedness (Dizziness and giddiness),19 (100.0) | 19,11 (100.0) | 11,2 (100.0) | 2,6 (100.0) | 6
   ↳ Itchy eye,11 (100.0) | 11,6 (100.0) | 6,1 (100.0) | 1,4 (100.0) | 4
   ↳ Difficulty in walking,16 (100.0) | 16,10 (100.0) | 10,4 (100.0) | 4,2 (100.0) | 2
   ↳ Nausea or vomiting,11 (100.0) | 11,7 (100.0) | 7,2 (100.0) | 2,2 (100.0) | 2
   ↳ Tinnitus,17 (100.0) | 17,9 (100.0) | 9,1 (100.0) | 1,7 (100.0) | 7
   ↳ Altered consciousness / Confusion (Disorientation),14 (100.0) | 14,7 (100.0) | 7,1 (100.0) | 1,6 (100.0) | 6
   ↳ Wheezing,22 (100.0) | 22,10 (100.0) | 10,N/A,12 (100.0) | 12
   ↳ Localized edema,8 (100.0) | 8,3 (100.0) | 3,1 (100.0) | 1,4 (100.0) | 4
   ↳ Sneezing,16 (100.0) | 16,8 (100.0) | 8,2 (100.0) | 2,6 (100.0) | 6
   ↳ Abdominal pain,19 (100.0) | 19,13 (100.0) | 13,2 (100.0) | 2,4 (100.0) | 4
   ↳ Retention of urine,16 (100.0) | 16,8 (100.0) | 8,1 (100.0) | 1,7 (100.0) | 7
   ↳ Urinary incontinence,7 (100.0) | 7,5 (100.0) | 5,1 (100.0) | 1,1 (100.0) | 1
   ↳ Headache,10 (100.0) | 10,6 (100.0) | 6,4 (100.0) | 4,N/A
   ↳ Visual disturbances,13 (100.0) | 13,6 (100.0) | 6,3 (100.0) | 3,4 (100.0) | 4
   ↳ Conjunctivitis,4 (100.0) | 4,1 (100.0) | 1,1 (100.0) | 1,2 (100.0) | 2
   ↳ Pruritus,1 (100.0) | 1,1 (100.0) | 1,N/A,N/A
<b><i>SYMPTOMS</i></b>,,,,
<b>Enter patient reported symptoms data for this date?</b> (*),101 (10.6) | 951,55 (11.0) | 499,9 (8.6) | 105,37 (10.7) | 347
<b>Fever</b> (*),40 (44.0) | 91,24 (52.2) | 46,3 (37.5) | 8,13 (35.1) | 37
<b>Fatigue / malaise / lethargy</b> (*),55 (64.0) | 86,30 (66.7) | 45,5 (71.4) | 7,20 (58.8) | 34
<b>Loss of smell / anosmia</b> (*),18 (18.8) | 96,8 (15.4) | 52,2 (22.2) | 9,8 (22.9) | 35
<b>Loss of taste / ageusia</b> (*),71 (76.3) | 93,41 (83.7) | 49,5 (55.6) | 9,25 (71.4) | 35
<b>Feeling dizzy / faint</b> (*),24 (29.3) | 82,17 (36.2) | 47,1 (14.3) | 7,6 (21.4) | 28
<b>Muscle aches / myalgia</b> (*),29 (33.0) | 88,14 (29.2) | 48,2 (22.2) | 9,13 (41.9) | 31
<b>Joint pain / arthralgia</b> (*),4 (4.3) | 93,4 (7.7) | 52,0 (0.0) | 9,0 (0.0) | 32
<b>Skin rash</b> (*),19 (20.4) | 93,13 (25.5) | 51,0 (0.0) | 8,6 (17.6) | 34
<b>Itch / pruritus</b> (*),34 (42.5) | 80,19 (47.5) | 40,4 (50.0) | 8,11 (34.4) | 32
<b>Change in mobility from baseline</b> (*),58 (61.1) | 95,31 (58.5) | 53,4 (50.0) | 8,23 (67.6) | 34
<b>Mobility status</b> (*),,,,
   ↳ Fully ambulant,38 (67.9) | 56,21 (67.7) | 31,3 (75.0) | 4,14 (66.7) | 21
"   ↳ Ambulant, but with some assistance",14 (25.0) | 56,6 (19.4) | 31,1 (25.0) | 4,7 (33.3) | 21
   ↳ Bedridden,4 (7.1) | 56,4 (12.9) | 31,0 (0.0) | 4,0 (0.0) | 21
<b>Cough</b> (*),34 (40.5) | 84,19 (40.4) | 47,3 (50.0) | 6,12 (38.7) | 31
<b>Cough type</b> (*),,,,
   ↳ Non Productive,13 (50.0) | 26,8 (50.0) | 16,1 (100.0) | 1,4 (44.4) | 9
   ↳ Productive,11 (42.3) | 26,7 (43.8) | 16,0 (0.0) | 1,4 (44.4) | 9
   ↳ Haemoptysis,2 (7.7) | 26,1 (6.2) | 16,0 (0.0) | 1,1 (11.1) | 9
<b>Sore throat</b> (*),51 (54.3) | 94,30 (58.8) | 51,4 (50.0) | 8,17 (48.6) | 35
<b>Runny nose / rhinorrhoea</b> (*),68 (88.3) | 77,39 (84.8) | 46,4 (100.0) | 4,25 (92.6) | 27
<b>Wheezing</b> (*),9 (9.8) | 92,4 (8.2) | 49,1 (11.1) | 9,4 (11.8) | 34
<b>Shortness of breath </b> (*),3 (3.1) | 97,1 (1.9) | 52,0 (0.0) | 9,2 (5.6) | 36
<b>Chest pain</b> (*),8 (9.3) | 86,5 (10.4) | 48,1 (12.5) | 8,2 (6.7) | 30
<b>Palpitations</b> (*),75 (87.2) | 86,39 (83.0) | 47,6 (85.7) | 7,30 (93.8) | 32
<b>Abdominal pain</b> (*),91 (98.9) | 92,51 (100.0) | 51,9 (100.0) | 9,31 (96.9) | 32
<b>Diarrhoea</b> (*),80 (87.9) | 91,44 (91.7) | 48,7 (87.5) | 8,29 (82.9) | 35
<b>Vomiting</b> (*),65 (67.7) | 96,37 (69.8) | 53,7 (77.8) | 9,21 (61.8) | 34
<b>Persistent vomiting? (>=2/day)</b> (*),42 (75.0) | 56,26 (81.2) | 32,5 (71.4) | 7,11 (64.7) | 17
<b>Nausea</b> (*),36 (39.1) | 92,22 (43.1) | 51,3 (37.5) | 8,11 (33.3) | 33
<b>Anorexia</b> (*),84 (95.5) | 88,46 (93.9) | 49,6 (100.0) | 6,32 (97.0) | 33
<b>Bleeding / haemorrhage</b> (*),22 (23.7) | 93,12 (23.1) | 52,4 (50.0) | 8,6 (18.2) | 33
<b>Severe bleeding / haemorrhage (requires intervention)</b> (*),14 (73.7) | 19,8 (80.0) | 10,2 (50.0) | 4,4 (80.0) | 5
<b>Specify bleeding / haemorrhage site(s)</b>,,,,
   ↳ Skin,8 (8.7) | 92,5 (9.8) | 51,0 (0.0) | 8,3 (9.1) | 33
   ↳ Petechiae,15 (16.3) | 92,8 (15.7) | 51,4 (50.0) | 8,3 (9.1) | 33
   ↳ Nose,9 (9.8) | 92,5 (9.8) | 51,1 (12.5) | 8,3 (9.1) | 33
   ↳ Gums,11 (12.0) | 92,5 (9.8) | 51,3 (37.5) | 8,3 (9.1) | 33
   ↳ GI tract,10 (10.9) | 92,5 (9.8) | 51,3 (37.5) | 8,2 (6.1) | 33
   ↳ Urinary tract,12 (13.0) | 92,7 (13.7) | 51,2 (25.0) | 8,3 (9.1) | 33
   ↳ Vagina,10 (10.9) | 92,4 (7.8) | 51,3 (37.5) | 8,3 (9.1) | 33
   ↳ Unknown,8 (8.7) | 92,3 (5.9) | 51,2 (25.0) | 8,3 (9.1) | 33
   ↳ Other(s),12 (13.0) | 92,7 (13.7) | 51,3 (37.5) | 8,2 (6.1) | 33
<b>Headache</b> (*),63 (73.3) | 86,35 (74.5) | 47,6 (85.7) | 7,22 (68.8) | 32
<b>Seizures / convulsions</b> (*),40 (51.3) | 78,23 (51.1) | 45,3 (50.0) | 6,14 (51.9) | 27
<b>Altered consciousness / confusion</b> (*),13 (14.4) | 90,6 (12.5) | 48,2 (22.2) | 9,5 (15.2) | 33
<b>Itching of eye(s)</b> (*),29 (33.3) | 87,20 (44.4) | 45,3 (33.3) | 9,6 (18.2) | 33
<b>Red / Pink eye(s)</b> (*),30 (36.1) | 83,16 (35.6) | 45,3 (42.9) | 7,11 (35.5) | 31
<b>Pain in eye(s)</b> (*),38 (50.0) | 76,20 (46.5) | 43,1 (25.0) | 4,17 (58.6) | 29
<b>Oedema of eyelid(s)</b> (*),8 (8.4) | 95,4 (7.7) | 52,1 (12.5) | 8,3 (8.6) | 35
<b>Discharge from eye(s)</b> (*),5 (5.6) | 90,3 (6.0) | 50,0 (0.0) | 9,2 (6.5) | 31
<b>Hazy / Blurred vision</b> (*),66 (78.6) | 84,37 (78.7) | 47,6 (75.0) | 8,23 (79.3) | 29
<b>Sensitivity of eye to light</b> (*),46 (53.5) | 86,27 (61.4) | 44,1 (12.5) | 8,18 (52.9) | 34
<b>Other symptom(s)</b> (*),,,,
   ↳ Pruritus,1 (100.0) | 1,1 (100.0) | 1,N/A,N/A
