field_name,form_name,field_type,field_label,parent,branching_logic
adsym_unlisted_item___Altered consciousness / Confusion (Disorientation),presentation,binary,Altered consciousness / Confusion (Disorientation),adsym_unlisted,
adsym_unlisted_item___Pallor,presentation,binary,Pallor,adsym_unlisted,
adsym_unlisted_item___Constipation,presentation,binary,Constipation,adsym_unlisted,
adsym_unlisted_item___Can't feel one side of the body or face (Hemiplegia),presentation,binary,Can't feel one side of the body or face (Hemiplegia),adsym_unlisted,
adsym_unlisted_item___Pain during urination (Dysuria),presentation,binary,Pain during urination (Dysuria),adsym_unlisted,
adsym_unlisted_item___Fainting / blackouts (Syncope and collapse),presentation,binary,Fainting / blackouts (Syncope and collapse),adsym_unlisted,
adsym_unlisted_item___Localized edema,presentation,binary,Localized edema,adsym_unlisted,
adsym_unlisted_item___Difficulty in walking,presentation,binary,Difficulty in walking,adsym_unlisted,
adsym_unlisted_item___Chest pain on breathing,presentation,binary,Chest pain on breathing,adsym_unlisted,
adsym_unlisted_item___Itchy eye,presentation,binary,Itchy eye,adsym_unlisted,
adsym_unlisted_item___Abnormal weight loss,presentation,binary,Abnormal weight loss,adsym_unlisted,
adsym_unlisted_item___Chills (without fever),presentation,binary,Chills (without fever),adsym_unlisted,
adsym_unlisted_item___Joint pain (Arthralgia),presentation,binary,Joint pain (Arthralgia),adsym_unlisted,
adsym_unlisted_item___Loss of appetite (Anorexia),presentation,binary,Loss of appetite (Anorexia),adsym_unlisted,
adsym_unlisted_item___Paresthesia of skin,presentation,binary,Paresthesia of skin,adsym_unlisted,
adsym_unlisted_item___Nausea or vomiting,presentation,binary,Nausea or vomiting,adsym_unlisted,
adsym_unlisted_0item,presentation,categorical,Select other  symptom(s),adsym,[adsym_unlisted]='1'
adsym_unlisted_0item___Abdominal pain,presentation,binary,Abdominal pain,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Abnormal weight loss,presentation,binary,Abnormal weight loss,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Altered consciousness / Confusion (Disorientation),presentation,binary,Altered consciousness / Confusion (Disorientation),adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Bleeding (Haemorrhage),presentation,binary,Bleeding (Haemorrhage),adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Chest pain on breathing,presentation,binary,Chest pain on breathing,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Cognitive impairment (Unspecified intellectual disabilities),presentation,binary,Cognitive impairment (Unspecified intellectual disabilities),adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Conjunctivitis,presentation,binary,Conjunctivitis,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Constipation,presentation,binary,Constipation,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Difficulty in walking,presentation,binary,Difficulty in walking,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Disorders of nose and nasal sinuses,presentation,binary,Disorders of nose and nasal sinuses,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Fainting / blackouts (Syncope and collapse),presentation,binary,Fainting / blackouts (Syncope and collapse),adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Fever,presentation,binary,Fever,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Increased thirst (Polydipsia),presentation,binary,Increased thirst (Polydipsia),adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Itchy eye,presentation,binary,Itchy eye,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Jaundice,presentation,binary,Jaundice,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Keratitis,presentation,binary,Keratitis,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Limb weakness / paralysis (Monoplegia),presentation,binary,Limb weakness / paralysis (Monoplegia),adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Localized edema,presentation,binary,Localized edema,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Loss of appetite (Anorexia),presentation,binary,Loss of appetite (Anorexia),adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Loss of smell (Anosmia),presentation,binary,Loss of smell (Anosmia),adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Lymphadenitis,presentation,binary,Lymphadenitis,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Mucosal lesion,presentation,binary,Mucosal lesion,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Nausea or vomiting,presentation,binary,Nausea or vomiting,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Pain during urination (Dysuria),presentation,binary,Pain during urination (Dysuria),adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Pallor,presentation,binary,Pallor,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Rapid heart beat/Pulse (Tachycardia),presentation,binary,Rapid heart beat/Pulse (Tachycardia),adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Skin rash,presentation,binary,Skin rash,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Sneezing,presentation,binary,Sneezing,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Spontaneous bruising (Spontaneous ecchymoses),presentation,binary,Spontaneous bruising (Spontaneous ecchymoses),adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Swollen lymph nodes (Enlarged lymph nodes),presentation,binary,Swollen lymph nodes (Enlarged lymph nodes),adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Visual disturbances,presentation,binary,Visual disturbances,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Wheezing,presentation,binary,Wheezing,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0item___Other,presentation,binary,Other,adsym_unlisted_0item,[adsym_unlisted]='1'
adsym_unlisted_0otherl2,presentation,freetext,Specify other  symptom(s),adsym,[adsym_unlisted_0item]='88'
adsym_unlisted_0addi,presentation,binary,Any additional other  symptom(s) ?,adsym,[adsym_unlisted]='1'
adsym_unlisted_1item,presentation,categorical,>Select additional other  symptom(s) 2,adsym,[adsym_unlisted_0addi]='1'
adsym_unlisted_1item___Can't feel one side of the body or face (Hemiplegia),presentation,binary,Can't feel one side of the body or face (Hemiplegia),adsym_unlisted_1item,[adsym_unlisted_0addi]='1'
adsym_unlisted_1item___Can't fully move or control movement (Paralytic syndrome),presentation,binary,Can't fully move or control movement (Paralytic syndrome),adsym_unlisted_1item,[adsym_unlisted_0addi]='1'
adsym_unlisted_1item___Chills (without fever),presentation,binary,Chills (without fever),adsym_unlisted_1item,[adsym_unlisted_0addi]='1'
adsym_unlisted_1item___Constipation,presentation,binary,Constipation,adsym_unlisted_1item,[adsym_unlisted_0addi]='1'
adsym_unlisted_1item___Difficulty eating or drinking (Dysphagia),presentation,binary,Difficulty eating or drinking (Dysphagia),adsym_unlisted_1item,[adsym_unlisted_0addi]='1'
adsym_unlisted_1item___Disorders of nose and nasal sinuses,presentation,binary,Disorders of nose and nasal sinuses,adsym_unlisted_1item,[adsym_unlisted_0addi]='1'
adsym_unlisted_1item___Paresthesia of skin,presentation,binary,Paresthesia of skin,adsym_unlisted_1item,[adsym_unlisted_0addi]='1'
adsym_unlisted_1addi,presentation,binary,>Any additional other  symptom(s) ?,adsym,[adsym_unlisted_0addi]='1'
adsym_unlisted_2item,presentation,categorical,->Select additional other  symptom(s) 3,adsym,[adsym_unlisted_1addi]='1'
adsym_unlisted_2item___Joint pain (Arthralgia),presentation,binary,Joint pain (Arthralgia),adsym_unlisted_2item,[adsym_unlisted_1addi]='1'
adsym_unlisted_2item___Skin rash,presentation,binary,Skin rash,adsym_unlisted_2item,[adsym_unlisted_1addi]='1'
adsym_unlisted_2addi,presentation,binary,->Any additional other  symptom(s) ?,adsym,[adsym_unlisted_1addi]='1'
adsym_unlisted_3item,presentation,categorical,>->Select additional other  symptom(s) 4,adsym,[adsym_unlisted_2addi]='1'
adsym_unlisted_3item___Difficulty in walking,presentation,binary,Difficulty in walking,adsym_unlisted_3item,[adsym_unlisted_2addi]='1'
preg,presentation,section,PREGNANCY DETAILS,,
preg_pregnant,presentation,binary,Pregnant,preg,[demog_sex]='2'
preg_geswek,presentation,numeric,Gestational weeks at presentation,preg,[preg_pregnant] = '1'
preg_postpartum,presentation,binary,Post-partum (within 6 weeks of delivery),preg,[demog_sex]='2' and [preg_pregnant]<>'1' and [demog_age_units]='1'
preg_bboutc,presentation,categorical,Pregnancy outcome,preg,[preg_postpartum] = '1'
preg_bboutc___Live birth,presentation,binary,Live birth,preg_bboutc,[preg_postpartum] = '1'
preg_bboutc___Stillbirth,presentation,binary,Stillbirth,preg_bboutc,[preg_postpartum] = '1'
preg_bboutc___Miscarriage,presentation,binary,Miscarriage,preg_bboutc,[preg_postpartum] = '1'
preg_bboutc___Termination,presentation,binary,Termination,preg_bboutc,[preg_postpartum] = '1'
preg_bboutc___Neonatal death,presentation,binary,Neonatal death,preg_bboutc,[preg_postpartum] = '1'
preg_bboutc___Other,presentation,binary,Other,preg_bboutc,[preg_postpartum] = '1'
preg_delvdate,presentation,date,Delivery date,preg,[preg_postpartum] = '1'
preg_gesweekout,presentation,numeric,Gestational weeks at pregnancy outcome,preg,[preg_postpartum] = '1'
preg_bbtest,presentation,binary,Baby tested for mother's infection of interest?,preg,[preg_postpartum] = '1'
preg_bbresl,presentation,categorical,Specify test result from mother's infection of interest ,preg,[preg_bbtest] = '1'
preg_bbresl___Positive,presentation,binary,Positive,preg_bbresl,[preg_bbtest] = '1'
preg_bbresl___Negative,presentation,binary,Negative,preg_bbresl,[preg_bbtest] = '1'
daily_date,daily,section,DAILY ASSESSMENT,,
daily_date,daily,date,DATE OF ASSESSMENT,daily,
asses_lvlcare,daily,categorical,Current level of care,asses,
asses_lvlcare___Outpatient,daily,binary,Outpatient,asses_lvlcare,
asses_lvlcare___Admitted to normal ward for isolation only,daily,binary,Admitted to normal ward for isolation only,asses_lvlcare,
asses_lvlcare___Admitted to normal ward for clinical care,daily,binary,Admitted to normal ward for clinical care,asses_lvlcare,
asses_lvlcare___High dependency,daily,binary,High dependency,asses_lvlcare,
asses_lvlcare___Intensive care admission,daily,binary,Intensive care admission,asses_lvlcare,
vital,daily,section,VITAL SIGNS & ASSESSMENTS,,
vital_dailydata,daily,binary,Enter Vital Signs data for this date?,vital,
vital_highesttem,daily,numeric,Highest temperature ,vital,[vital_dailydata]='1'
vital_highesttem_units,daily,units,Select Highest temperature units,vital,[vital_dailydata]='1'
vital_highesttem_units___°C,daily,binary,°C,vital_highesttem_units,[vital_dailydata]='1'
vital_highesttem_units___°F,daily,binary,°F,vital_highesttem_units,[vital_dailydata]='1'
vital_hr,daily,numeric,HR (bpm),vital,[vital_dailydata]='1'
vital_rr,daily,numeric,RR (breaths/min),vital,[vital_dailydata]='1'
vital_systolicbp,daily,numeric,Systolic BP (mmHg),vital,[vital_dailydata]='1'
vital_diastolicbp,daily,numeric,Diastolic BP (mmHg),vital,[vital_dailydata]='1'
vital_spo2room,daily,numeric,Oxygen saturation at room air (no oxygen support) (%),vital,[vital_dailydata]='1'
vital_o2supp,daily,binary,Supplemental oxygen?,vital,[vital_dailydata]='1'
vital_o2supp_type,daily,categorical,Type of supplemental oxygen?,vital,[vital_o2supp]='1'
vital_o2supp_type___Nasal Prongs,daily,binary,Nasal Prongs,vital_o2supp_type,[vital_o2supp]='1'
vital_o2supp_type___Face mask,daily,binary,Face mask,vital_o2supp_type,[vital_o2supp]='1'
vital_o2supp_type___High flow nasal oxygen,daily,binary,High flow nasal oxygen,vital_o2supp_type,[vital_o2supp]='1'
vital_o2supp_type___Non-invasive ventilation,daily,binary,Non-invasive ventilation,vital_o2supp_type,[vital_o2supp]='1'
vital_o2supp_type___Invasive ventilation,daily,binary,Invasive ventilation,vital_o2supp_type,[vital_o2supp]='1'
vital_o2supp_type___ECMO / ECLS,daily,binary,ECMO / ECLS,vital_o2supp_type,[vital_o2supp]='1'
vital_o2supp_spo2,daily,numeric,Oxygen saturation with supplemental oxygen (%),vital,[vital_o2supp]='1'
vital_fio2spo2,daily,numeric,FiO2 at time of lowest SpO2 ,vital,[vital_o2supp]='1'
vital_fio2spo2_units,daily,units,Select FiO2 at time of lowest SpO2 units,vital,[vital_o2supp]='1'
"vital_fio2spo2_units___Fraction, 0.21-1.0",daily,binary,"Fraction, 0.21-1.0",vital_fio2spo2_units,[vital_o2supp]='1'
"vital_fio2spo2_units___%, 21-100",daily,binary,"%, 21-100",vital_fio2spo2_units,[vital_o2supp]='1'
vital_fio2spo2_units___Highest L/min,daily,binary,Highest L/min,vital_fio2spo2_units,[vital_o2supp]='1'
vital_capillaryr,daily,binary,Capillary refill time >2 seconds,vital,[vital_dailydata]='1'
vital_avpu,daily,categorical,ACVPU,vital,[vital_dailydata]='1'
vital_avpu___Alert,daily,binary,Alert,vital_avpu,[vital_dailydata]='1'
vital_avpu___Confusion,daily,binary,Confusion,vital_avpu,[vital_dailydata]='1'
vital_avpu___Verbal,daily,binary,Verbal,vital_avpu,[vital_dailydata]='1'
vital_avpu___Pain,daily,binary,Pain,vital_avpu,[vital_dailydata]='1'
vital_avpu___Unresponsive,daily,binary,Unresponsive,vital_avpu,[vital_dailydata]='1'
vital_gcs,daily,numeric,Glasgow Coma Score (GCS / 15) ,vital,[vital_dailydata]='1'
sympt,daily,section,SYMPTOMS,,
sympt_dailydata,daily,binary,Enter patient reported symptoms data for this date?,sympt,
sympt_sys,daily,freetext,Systemic / general symptoms,sympt,[sympt_dailydata]='1'
sympt_fever,daily,binary,Fever,sympt,[sympt_dailydata]='1'
sympt_rigchill,daily,binary,Chills or rigors,sympt,[sympt_dailydata]='1'
sympt_fatigue,daily,binary,Fatigue / malaise / lethargy,sympt,[sympt_dailydata]='1'
sympt_weight,daily,binary,Weight loss,sympt,[sympt_dailydata]='1'
sympt_myalgia,daily,binary,Muscle aches / myalgia,sympt,[sympt_dailydata]='1'
sympt_arthralgia,daily,binary,Joint pain / arthralgia,sympt,[sympt_dailydata]='1'
sympt_pruritus,daily,binary,Itch / pruritus,sympt,[sympt_dailydata]='1'
sympt_mobilchg,daily,binary,Change in mobility from baseline,sympt,[sympt_dailydata]='1'
sympt_mobile,daily,categorical,Mobility status,sympt,[sympt_mobilchg]='1'
sympt_mobile___Fully ambulant,daily,binary,Fully ambulant,sympt_mobile,[sympt_mobilchg]='1'
"sympt_mobile___Ambulant, but with some assistance",daily,binary,"Ambulant, but with some assistance",sympt_mobile,[sympt_mobilchg]='1'
sympt_mobile___Bedridden,daily,binary,Bedridden,sympt_mobile,[sympt_mobilchg]='1'
sympt_resp,daily,freetext,Respiratory symptoms,sympt,[sympt_dailydata]='1'
sympt_cough,daily,binary,Cough,sympt,[sympt_dailydata]='1'
sympt_cough_type,daily,categorical,Cough type,sympt,[sympt_cough] = '1'
sympt_cough_type___Non Productive,daily,binary,Non Productive,sympt_cough_type,[sympt_cough] = '1'
sympt_cough_type___Productive,daily,binary,Productive,sympt_cough_type,[sympt_cough] = '1'
sympt_cough_type___Haemoptysis,daily,binary,Haemoptysis,sympt_cough_type,[sympt_cough] = '1'
sympt_sorethroat,daily,binary,Sore throat,sympt,[sympt_dailydata]='1'
sympt_shortbreat,daily,binary,Shortness of breath ,sympt,[sympt_dailydata]='1'
sympt_chestpain,daily,binary,Chest pain,sympt,[sympt_dailydata]='1'
sympt_git,daily,freetext,Gastrointestinal symptoms,sympt,[sympt_dailydata]='1'
sympt_abdpain,daily,binary,Abdominal pain,sympt,[sympt_dailydata]='1'
sympt_diarrhoea,daily,binary,Diarrhoea,sympt,[sympt_dailydata]='1'
sympt_consti,daily,binary,Constipation,sympt,[sympt_dailydata]='1'
sympt_vomit,daily,binary,Vomiting,sympt,[sympt_dailydata]='1'
sympt_vomit2d,daily,binary,Persistent vomiting? (>=2/day),sympt,[sympt_vomit]='1'
sympt_nausea,daily,binary,Nausea,sympt,[sympt_dailydata]='1'
sympt_exsal,daily,binary,Excessive salivation,sympt,[sympt_dailydata]='1'
sympt_diffswallow,daily,binary,Difficulty swallowing (dysphagia),sympt,[sympt_dailydata]='1'
sympt_renalgut,daily,freetext,Renal / Genitourinary symptoms,sympt,[sympt_dailydata]='1'
sympt_urine,daily,binary,Urinary retention,sympt,[sympt_dailydata]='1'
sympt_dyspareunia,daily,binary,Painful intercourse (dyspareunia),sympt,[sympt_dailydata]='1'
sympt_heme,daily,freetext,Haematological symptoms,sympt,[sympt_dailydata]='1'
sympt_haemorrhag,daily,binary,Bleeding / haemorrhage,sympt,[sympt_dailydata]='1'
sympt_haemorrhag_sev,daily,binary,Severe bleeding / haemorrhage (requires intervention),sympt,[sympt_haemorrhag]='1'
sympt_haemorrhag_site,daily,checkbox,Specify bleeding / haemorrhage site(s),sympt,[sympt_haemorrhag] = '1'
sympt_haemorrhag_site___Skin,daily,binary,Skin,sympt_haemorrhag_site,[sympt_haemorrhag] = '1'
sympt_haemorrhag_site___Petechiae,daily,binary,Petechiae,sympt_haemorrhag_site,[sympt_haemorrhag] = '1'
sympt_haemorrhag_site___Nose,daily,binary,Nose,sympt_haemorrhag_site,[sympt_haemorrhag] = '1'
sympt_haemorrhag_site___Gums,daily,binary,Gums,sympt_haemorrhag_site,[sympt_haemorrhag] = '1'
sympt_haemorrhag_site___GI tract,daily,binary,GI tract,sympt_haemorrhag_site,[sympt_haemorrhag] = '1'
sympt_haemorrhag_site___Urinary tract,daily,binary,Urinary tract,sympt_haemorrhag_site,[sympt_haemorrhag] = '1'
sympt_haemorrhag_site___Vagina,daily,binary,Vagina,sympt_haemorrhag_site,[sympt_haemorrhag] = '1'
sympt_haemorrhag_site___Unknown,daily,binary,Unknown,sympt_haemorrhag_site,[sympt_haemorrhag] = '1'
sympt_haemorrhag_site___Other(s),daily,binary,Other(s),sympt_haemorrhag_site,[sympt_haemorrhag] = '1'
sympt_haemorrhag_site_oth,daily,freetext,Specify other bleeding / haemorrhage site(s),sympt,[sympt_haemorrhag_site(88)]='1'
sympt_cns,daily,freetext,Neurological symptoms,sympt,[sympt_dailydata]='1'
sympt_headache,daily,binary,Headache,sympt,[sympt_dailydata]='1'
sympt_seizconv,daily,binary,Seizures / convulsions,sympt,[sympt_dailydata]='1'
sympt_confusion,daily,binary,Altered consciousness / confusion,sympt,[sympt_dailydata]='1'
sympt_eye,daily,freetext,Opthalmological symptoms,sympt,[sympt_dailydata]='1'
sympt_itchyeye,daily,binary,Itching of eye(s),sympt,[sympt_dailydata]='1'
sympt_redeye,daily,binary,Red / Pink eye(s),sympt,[sympt_dailydata]='1'
sympt_paineyes,daily,binary,Pain in eye(s),sympt,[sympt_dailydata]='1'
sympt_visdist,daily,binary,Visual disturbance,sympt,[sympt_dailydata]='1'
sympt_ocularoth,daily,binary,Other opthalmological symptoms,sympt,[sympt_dailydata]='1'
sympt_ocularoth_spec,daily,freetext,Specify other opthalmological symptoms,sympt,[sympt_dailydata]='1'
sympt_otherdesc,daily,freetext,Other  symptoms,sympt,[sympt_dailydata]='1'
sympt_unlisted,daily,binary,Other symptom(s),sympt,[sympt_dailydata]='1'
sympt_unlisted_item___Sneezing,daily,binary,Sneezing,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Can't fully move or control movement (Paralytic syndrome),daily,binary,Can't fully move or control movement (Paralytic syndrome),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Loss of appetite (Anorexia),daily,binary,Loss of appetite (Anorexia),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Disorders of nose and nasal sinuses,daily,binary,Disorders of nose and nasal sinuses,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Retention of urine,daily,binary,Retention of urine,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Speech disturbances,daily,binary,Speech disturbances,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Cardiac arrhythmia,daily,binary,Cardiac arrhythmia,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Abdominal pain,daily,binary,Abdominal pain,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Bruising (Spontaneous ecchymoses),daily,binary,Bruising (Spontaneous ecchymoses),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Sleep disorder,daily,binary,Sleep disorder,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Muscle aches (Myalgia),daily,binary,Muscle aches (Myalgia),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Conjunctivitis,daily,binary,Conjunctivitis,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Constipation,daily,binary,Constipation,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Gastrointestinal bleeding (Gastrointestinal hemorrhage),daily,binary,Gastrointestinal bleeding (Gastrointestinal hemorrhage),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Keratitis,daily,binary,Keratitis,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Difficulty in walking,daily,binary,Difficulty in walking,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Nasal congestion,daily,binary,Nasal congestion,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Problems swallowing or chewing (Dysphagia),daily,binary,Problems swallowing or chewing (Dysphagia),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Dry skin (Xerosis cutis),daily,binary,Dry skin (Xerosis cutis),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Visual disturbances,daily,binary,Visual disturbances,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Headache,daily,binary,Headache,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Urinary incontinence,daily,binary,Urinary incontinence,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Convulsions,daily,binary,Convulsions,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Tremor,daily,binary,Tremor,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Changes in skin texture,daily,binary,Changes in skin texture,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Cognitive impairment (Unspecified intellectual disabilities),daily,binary,Cognitive impairment (Unspecified intellectual disabilities),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Rapid heart beat/Pulse (Tachycardia),daily,binary,Rapid heart beat/Pulse (Tachycardia),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Alopecia (Nonscarring hair loss),daily,binary,Alopecia (Nonscarring hair loss),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Altered consciousness / Confusion (Disorientation),daily,binary,Altered consciousness / Confusion (Disorientation),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Joint pain (Arthralgia),daily,binary,Joint pain (Arthralgia),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Mucosal lesion,daily,binary,Mucosal lesion,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Pain during urination (Dysuria),daily,binary,Pain during urination (Dysuria),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Irritability,daily,binary,Irritability,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Fever,daily,binary,Fever,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Anorexia,daily,binary,Anorexia,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Skin rash,daily,binary,Skin rash,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Difficulty eating or drinking (Dysphagia),daily,binary,Difficulty eating or drinking (Dysphagia),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Apnoea,daily,binary,Apnoea,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Fainting / blackouts (Syncope and collapse),daily,binary,Fainting / blackouts (Syncope and collapse),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Skin lesion,daily,binary,Skin lesion,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Spontaneous bruising (Spontaneous ecchymoses),daily,binary,Spontaneous bruising (Spontaneous ecchymoses),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Pallor,daily,binary,Pallor,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Changes in menstruation (Irregular menstruation),daily,binary,Changes in menstruation (Irregular menstruation),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Loss of taste (Parageusia),daily,binary,Loss of taste (Parageusia),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Tinnitus,daily,binary,Tinnitus,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Itchy eye,daily,binary,Itchy eye,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Abnormal weight loss,daily,binary,Abnormal weight loss,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Ear pain (Otalgia),daily,binary,Ear pain (Otalgia),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Lymphadenitis,daily,binary,Lymphadenitis,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Hepatomegaly,daily,binary,Hepatomegaly,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Disturbance in attention (Altered mental status),daily,binary,Disturbance in attention (Altered mental status),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Chills (without fever),daily,binary,Chills (without fever),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Localized edema,daily,binary,Localized edema,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Chest pain,daily,binary,Chest pain,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Sweating (hyperhidrosis),daily,binary,Sweating (hyperhidrosis),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Mouth ulcers (Recurrent oral aphthae),daily,binary,Mouth ulcers (Recurrent oral aphthae),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Dizziness/light headedness (Dizziness and giddiness),daily,binary,Dizziness/light headedness (Dizziness and giddiness),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Sore throat (Pain in throat),daily,binary,Sore throat (Pain in throat),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Wheezing,daily,binary,Wheezing,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Pruritus,daily,binary,Pruritus,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Feeding difficulty,daily,binary,Feeding difficulty,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Palpitations,daily,binary,Palpitations,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Increased thirst (Polydipsia),daily,binary,Increased thirst (Polydipsia),sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Rashes or skin lesions,daily,binary,Rashes or skin lesions,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Malaise and fatigue,daily,binary,Malaise and fatigue,sympt_unlisted,[sympt_dailydata]='1'
sympt_unlisted_item___Jaundice,daily,binary,Jaundice,sympt_unlisted,[sympt_dailydata]='1'
